pid id fid mid
1 22 0 0
1 33 0 0
1 72 0 0
1 136 0 0
1 164 0 0
1 194 0 0
1 277 0 0
1 279 0 0
1 399 0 0
1 418 0 0
1 476 0 0
1 491 0 0
1 535 0 0
1 665 0 0
1 739 0 0
1 793 0 0
1 820 0 0
1 869 0 0
1 1007 0 0
1 1015 0 0
1 1027 0 0
1 1068 0 0
1 1093 0 0
1 1118 0 0
1 1128 0 0
1 1209 0 0
1 1279 0 0
1 1286 0 0
1 1294 0 0
1 1392 0 0
1 1394 0 0
1 1471 0 0
1 1497 0 0
1 1583 0 0
1 1593 0 0
1 1659 0 0
1 1667 0 0
1 1742 0 0
1 1798 0 0
1 1803 0 0
1 1819 0 0
1 1845 0 0
1 1847 0 0
1 1855 0 0
1 1877 0 0
1 1891 0 0
1 2010 0 0
1 2058 0 0
1 2065 0 0
1 2068 0 0
1 2129 0 0
1 2198 0 0
1 2307 0 0
1 2315 0 0
1 2330 0 0
1 2420 0 0
1 2518 0 0
1 2520 0 0
1 2556 0 0
1 2628 0 0
1 2658 0 0
1 2705 0 0
1 2716 0 0
1 2772 0 0
1 2827 0 0
1 2900 0 0
1 2914 0 0
1 2915 0 0
1 2938 0 0
1 2964 0 0
1 2995 0 0
1 3010 0 0
1 3064 0 0
1 3073 0 0
1 3161 0 0
1 3179 0 0
1 3293 0 0
1 3331 0 0
1 3454 0 0
1 3470 0 0
1 3505 0 0
1 3533 0 0
1 3542 0 0
1 3599 0 0
1 3679 0 0
1 3716 0 0
1 3793 0 0
1 3812 0 0
1 3831 0 0
1 3852 0 0
1 3863 0 0
1 3872 0 0
1 4086 0 0
1 4108 0 0
1 4313 0 0
1 4337 0 0
1 4386 0 0
1 4419 0 0
1 4572 0 0
1 4574 0 0
1 4611 0 0
1 4667 0 0
1 4828 0 0
1 4924 0 0
1 4989 0 0
1 5028 0 0
1 5033 0 0
1 5079 0 0
1 5089 0 0
1 5159 0 0
1 5164 0 0
1 5218 0 0
1 5239 0 0
1 5252 0 0
1 5260 0 0
1 5275 0 0
1 5280 0 0
1 5296 0 0
1 5298 0 0
1 5328 0 0
1 5339 0 0
1 5361 0 0
1 5429 0 0
1 5440 0 0
1 5443 0 0
1 5523 0 0
1 5548 0 0
1 5555 0 0
1 5566 0 0
1 5579 0 0
1 5631 0 0
1 5693 0 0
1 5868 0 0
1 5907 0 0
1 6003 0 0
1 6047 0 0
1 6053 0 0
1 6070 0 0
1 6077 0 0
1 6144 0 0
1 6171 0 0
1 6221 0 0
1 6256 0 0
1 6327 0 0
1 6682 0 0
1 6706 0 0
1 6712 0 0
1 6722 0 0
1 6812 0 0
1 6820 0 0
1 6821 0 0
1 7017 0 0
1 7026 0 0
1 7093 0 0
1 7107 0 0
1 7195 0 0
1 7198 0 0
1 7205 0 0
1 7240 0 0
1 7305 0 0
1 7356 0 0
1 7368 0 0
1 7387 0 0
1 7407 0 0
1 7456 0 0
1 7570 0 0
1 7578 0 0
1 7679 0 0
1 7729 0 0
1 7749 0 0
1 7769 0 0
1 7839 0 0
1 7851 0 0
